Timestamp,total_watt
2016-10-02 15:59:59,27.3648
2016-10-02 16:14:59,51.3671
2016-10-02 16:29:59,76.9016
2016-10-02 16:44:59,53.959
2016-10-02 16:59:59,44.0656
2016-10-02 17:14:59,180.066
2016-10-02 17:29:59,226.496
2016-10-02 17:44:59,58.3361
2016-10-02 17:59:59,43.8607
2016-10-02 18:14:59,51.181
2016-10-02 18:29:59,54.5943
2016-10-02 18:44:59,52.6967
2016-10-02 18:59:59,38.4344
2016-10-02 19:14:59,46.75
2016-10-02 19:29:59,112.41
2016-10-02 19:44:59,372.574
2016-10-02 19:59:59,163.406
2016-10-02 20:14:59,45.0984
2016-10-02 20:29:59,43.2459
2016-10-02 20:44:59,45.2418
2016-10-02 20:59:59,71.0779
2016-10-02 21:14:59,70.2008
2016-10-02 21:29:59,72.3689
2016-10-02 21:44:59,74.8074
2016-10-02 21:59:59,213.107
2016-10-02 22:14:59,472.402
2016-10-02 22:29:59,531.898
2016-10-02 22:44:59,520.697
2016-10-02 22:59:59,421.234
2016-10-02 23:14:59,333.934
2016-10-02 23:29:59,320.463
2016-10-02 23:44:59,318.557
2016-10-02 23:59:59,255.75
2016-10-03 00:14:59,293.246
2016-10-03 00:29:59,292.004
2016-10-03 00:44:59,294.816
2016-10-03 00:59:59,293.635
2016-10-03 01:14:59,192.939
2016-10-03 01:29:59,295.799
2016-10-03 01:44:59,256.807
2016-10-03 01:59:59,208.475
2016-10-03 02:14:59,292.918
2016-10-03 02:29:59,182.066
2016-10-03 02:44:59,287.84
2016-10-03 02:59:59,175.828
2016-10-03 03:14:59,229.357
2016-10-03 03:29:59,222.594
2016-10-03 03:44:59,182.004
2016-10-03 03:59:59,165.865
2016-10-03 04:14:59,238.795
2016-10-03 04:29:59,167.734
2016-10-03 04:44:59,137.176
2016-10-03 04:59:59,142.488
2016-10-03 05:14:59,176.164
2016-10-03 05:29:59,123.037
2016-10-03 05:44:59,26.6148
2016-10-03 05:59:59,31.0246
2016-10-03 06:14:59,33.9057
2016-10-03 06:29:59,33.8443
2016-10-03 06:44:59,29.6434
2016-10-03 06:59:59,43.8074
2016-10-03 07:14:59,47.8648
2016-10-03 07:29:59,35.9795
2016-10-03 07:44:59,32.4959
2016-10-03 07:59:59,30.2541
2016-10-03 08:14:59,27.127
2016-10-03 08:29:59,151.373
2016-10-03 08:44:59,49.5656
2016-10-03 08:59:59,49.0615
2016-10-03 09:14:59,43.8893
2016-10-03 09:29:59,32.6926
2016-10-03 09:44:59,36.9139
2016-10-03 09:59:59,31.8361
2016-10-03 10:14:59,28.5451
2016-10-03 10:29:59,32.877
2016-10-03 10:44:59,29.2869
2016-10-03 10:59:59,27.0164
2016-10-03 11:14:59,26.832
2016-10-03 11:29:59,33.209
2016-10-03 11:44:59,34.1721
2016-10-03 11:59:59,32.8566
2016-10-03 12:14:59,29.7049
2016-10-03 12:29:59,33.5697
2016-10-03 12:44:59,29.5164
2016-10-03 12:59:59,29.2582
2016-10-03 13:14:59,32.8811
2016-10-03 13:29:59,28.3238
2016-10-03 13:44:59,26.8156
2016-10-03 13:59:59,27.8893
2016-10-03 14:14:59,33.5451
2016-10-03 14:29:59,34.1598
2016-10-03 14:44:59,32.0082
2016-10-03 14:59:59,30.5246
2016-10-03 15:14:59,33.1844
2016-10-03 15:29:59,28.7664
2016-10-03 15:44:59,30.0615
2016-10-03 15:59:59,32.3484
2016-10-03 16:14:59,27.8443
2016-10-03 16:29:59,26.8074
2016-10-03 16:44:59,29.127
2016-10-03 16:59:59,33.6844
2016-10-03 17:14:59,34.0041
2016-10-03 17:29:59,31.0902
2016-10-03 17:44:59,31.877
2016-10-03 17:59:59,35.9713
2016-10-03 18:14:59,31.877
2016-10-03 18:29:59,34.5984
2016-10-03 18:44:59,46.6475
2016-10-03 18:59:59,47.4631
2016-10-03 19:14:59,60.9754
2016-10-03 19:29:59,59.5943
2016-10-03 19:44:59,293.373
2016-10-03 19:59:59,57.3811
2016-10-03 20:14:59,53.7705
2016-10-03 20:29:59,55.7623
2016-10-03 20:44:59,69.5369
2016-10-03 20:59:59,222.725
2016-10-03 21:14:59,347.127
2016-10-03 21:29:59,417.594
2016-10-03 21:44:59,508.492
2016-10-03 21:59:59,505.246
2016-10-03 22:14:59,360.754
2016-10-03 22:29:59,356.307
2016-10-03 22:44:59,355.734
2016-10-03 22:59:59,281.135
2016-10-03 23:14:59,335.602
2016-10-03 23:29:59,330.615
2016-10-03 23:44:59,325.717
2016-10-03 23:59:59,325.143
2016-10-04 00:14:59,192.205
2016-10-04 00:29:59,292.279
2016-10-04 00:44:59,216.516
2016-10-04 00:59:59,246.615
2016-10-04 01:14:59,297.127
2016-10-04 01:29:59,182.877
2016-10-04 01:44:59,255.709
2016-10-04 01:59:59,216.734
2016-10-04 02:14:59,195.324
2016-10-04 02:29:59,226.59
2016-10-04 02:44:59,201.766
2016-10-04 02:59:59,137.947
2016-10-04 03:14:59,229.889
2016-10-04 03:29:59,81.7541
2016-10-04 03:44:59,33.4426
2016-10-04 03:59:59,34.1598
2016-10-04 04:14:59,32.3975
2016-10-04 04:29:59,30.2459
2016-10-04 04:44:59,33.4098
2016-10-04 04:59:59,29.041
2016-10-04 05:14:59,29.6803
2016-10-04 05:29:59,32.6393
2016-10-04 05:44:59,27.9098
2016-10-04 05:59:59,26.8893
2016-10-04 06:14:59,28.5287
2016-10-04 06:29:59,33.5574
2016-10-04 06:44:59,34.0861
2016-10-04 06:59:59,31.6639
2016-10-04 07:14:59,149.799
2016-10-04 07:29:59,44.6967
2016-10-04 07:44:59,28.5656
2016-10-04 07:59:59,30.6803
2016-10-04 08:14:59,34.5287
2016-10-04 08:29:59,31.1025
2016-10-04 08:44:59,28.7131
2016-10-04 08:59:59,29.8893
2016-10-04 09:14:59,33.6148
2016-10-04 09:29:59,34.0
2016-10-04 09:44:59,30.6762
2016-10-04 09:59:59,31.9098
2016-10-04 10:14:59,31.8975
2016-10-04 10:29:59,28.291
2016-10-04 10:44:59,31.6926
2016-10-04 10:59:59,31.0656
2016-10-04 11:14:59,27.3238
2016-10-04 11:29:59,26.6148
2016-10-04 11:44:59,31.0615
2016-10-04 11:59:59,33.832
2016-10-04 12:14:59,33.9795
2016-10-04 12:29:59,29.6721
2016-10-04 12:44:59,32.709
2016-10-04 12:59:59,31.2295
2016-10-04 13:14:59,28.2213
2016-10-04 13:29:59,32.6148
2016-10-04 13:44:59,30.1352
2016-10-04 13:59:59,27.0615
2016-10-04 14:14:59,26.623
2016-10-04 14:29:59,32.25
2016-10-04 14:44:59,34.0451
2016-10-04 14:59:59,33.5779
2016-10-04 15:14:59,29.2623
2016-10-04 15:29:59,33.4221
2016-10-04 15:44:59,30.2664
2016-10-04 15:59:59,28.6926
2016-10-04 16:14:59,32.9221
2016-10-04 16:29:59,29.1475
2016-10-04 16:44:59,27.0246
2016-10-04 16:59:59,26.832
